graph,order,size,time,iterations,error,technique,min_compute
"min-4SCC","21","35","0.715","40","0.000001654","pagerankComponentwiseCudaLiNorm","1000000"
"min-4SCC","21","35","0.716","40","0.000001654","pagerankComponentwiseCudaLiNorm","5000000"
"min-4SCC","21","35","0.716","40","0.000001654","pagerankComponentwiseCudaLiNorm","10000000"
"min-4SCC","21","35","0.726","40","0.000001654","pagerankComponentwiseCudaLiNorm","50000000"
"min-NvgraphEx","6","11","0.37","17","0","pagerankMonolithicCudaL1Norm","0"
"min-NvgraphEx","6","11","3.155","48","0.0000032485","pagerankComponentwiseCudaL1Norm","1"
"min-NvgraphEx","6","11","1.953","26","0.0000013486","pagerankComponentwiseCudaL1Norm","5"
"min-NvgraphEx","6","11","0.377","17","0","pagerankComponentwiseCudaL1Norm","10"
"min-NvgraphEx","6","11","0.374","17","0","pagerankComponentwiseCudaL1Norm","50"
"min-NvgraphEx","6","11","0.382","17","0","pagerankComponentwiseCudaL1Norm","100"
"min-NvgraphEx","6","11","0.38","17","0","pagerankComponentwiseCudaL1Norm","500"
"min-NvgraphEx","6","11","0.372","17","0","pagerankComponentwiseCudaL1Norm","1000"
"min-NvgraphEx","6","11","0.375","17","0","pagerankComponentwiseCudaL1Norm","5000"
"min-NvgraphEx","6","11","0.387","17","0","pagerankComponentwiseCudaL1Norm","10000"
"min-NvgraphEx","6","11","0.367","17","0","pagerankComponentwiseCudaL1Norm","50000"
"min-NvgraphEx","6","11","0.377","17","0","pagerankComponentwiseCudaL1Norm","100000"
"min-NvgraphEx","6","11","0.387","17","0","pagerankComponentwiseCudaL1Norm","500000"
"min-NvgraphEx","6","11","0.383","17","0","pagerankComponentwiseCudaL1Norm","1000000"
"min-NvgraphEx","6","11","0.374","17","0","pagerankComponentwiseCudaL1Norm","5000000"
"min-NvgraphEx","6","11","0.367","17","0","pagerankComponentwiseCudaL1Norm","10000000"
"min-NvgraphEx","6","11","0.392","17","0","pagerankComponentwiseCudaL1Norm","50000000"
"min-NvgraphEx","6","11","0.354","16","4.8429e-7","pagerankMonolithicCudaL2Norm","0"
"min-NvgraphEx","6","11","3.307","47","0.0000054576","pagerankComponentwiseCudaL2Norm","1"
"min-NvgraphEx","6","11","1.98","25","0.0000014901","pagerankComponentwiseCudaL2Norm","5"
"min-NvgraphEx","6","11","0.358","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","10"
"min-NvgraphEx","6","11","0.36","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","50"
"min-NvgraphEx","6","11","0.361","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","100"
